street,label,location,heading,pitch,fov,radius,bottom_crop,source,sample_location,pano_id,pano_lat,pano_lng,pano_date,status,group_id,created_at
auto_19,auto_q3CvipJmGeGsr1m0E3v41Q_h270,"45.4302830,-75.6422155",270,0,90,50,30,auto_sampler,"45.4301312,-75.6422404",q3CvipJmGeGsr1m0E3v41Q,45.43028298818769,-75.64221547741123,2024-09,ok,q3CvipJmGeGsr1m0E3v41Q,2026-02-28T21:27:24.157Z
auto_20,auto_q3CvipJmGeGsr1m0E3v41Q_h315,"45.4302830,-75.6422155",315,0,90,50,30,auto_sampler,"45.4301312,-75.6422404",q3CvipJmGeGsr1m0E3v41Q,45.43028298818769,-75.64221547741123,2024-09,ok,q3CvipJmGeGsr1m0E3v41Q,2026-02-28T21:27:24.157Z
auto_21,auto_q3CvipJmGeGsr1m0E3v41Q_h0,"45.4302830,-75.6422155",0,0,90,50,30,auto_sampler,"45.4301312,-75.6422404",q3CvipJmGeGsr1m0E3v41Q,45.43028298818769,-75.64221547741123,2024-09,ok,q3CvipJmGeGsr1m0E3v41Q,2026-02-28T21:27:24.157Z
auto_22,auto_q3CvipJmGeGsr1m0E3v41Q_h45,"45.4302830,-75.6422155",45,0,90,50,30,auto_sampler,"45.4301312,-75.6422404",q3CvipJmGeGsr1m0E3v41Q,45.43028298818769,-75.64221547741123,2024-09,ok,q3CvipJmGeGsr1m0E3v41Q,2026-02-28T21:27:24.157Z
auto_23,auto_q3CvipJmGeGsr1m0E3v41Q_h90,"45.4302830,-75.6422155",90,0,90,50,30,auto_sampler,"45.4301312,-75.6422404",q3CvipJmGeGsr1m0E3v41Q,45.43028298818769,-75.64221547741123,2024-09,ok,q3CvipJmGeGsr1m0E3v41Q,2026-02-28T21:27:24.157Z
auto_24,auto_q3CvipJmGeGsr1m0E3v41Q_h135,"45.4302830,-75.6422155",135,0,90,50,30,auto_sampler,"45.4301312,-75.6422404",q3CvipJmGeGsr1m0E3v41Q,45.43028298818769,-75.64221547741123,2024-09,ok,q3CvipJmGeGsr1m0E3v41Q,2026-02-28T21:27:24.157Z
auto_25,auto_y0_787PTT6zvoxcZxDL0gA_h180,"45.3845849,-75.6266196",180,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_26,auto_y0_787PTT6zvoxcZxDL0gA_h225,"45.3845849,-75.6266196",225,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_27,auto_y0_787PTT6zvoxcZxDL0gA_h270,"45.3845849,-75.6266196",270,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_28,auto_y0_787PTT6zvoxcZxDL0gA_h315,"45.3845849,-75.6266196",315,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_29,auto_y0_787PTT6zvoxcZxDL0gA_h0,"45.3845849,-75.6266196",0,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_30,auto_y0_787PTT6zvoxcZxDL0gA_h45,"45.3845849,-75.6266196",45,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_31,auto_y0_787PTT6zvoxcZxDL0gA_h90,"45.3845849,-75.6266196",90,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_32,auto_y0_787PTT6zvoxcZxDL0gA_h135,"45.3845849,-75.6266196",135,0,90,50,30,auto_sampler,"45.3846302,-75.6265184",y0_787PTT6zvoxcZxDL0gA,45.38458490307077,-75.62661961963465,2021-05,ok,y0_787PTT6zvoxcZxDL0gA,2026-02-28T21:27:24.350Z
auto_33,auto_Ax_34QsxnRJedeN0ZU_DKQ_h180,"45.3646852,-75.7087745",180,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_34,auto_Ax_34QsxnRJedeN0ZU_DKQ_h225,"45.3646852,-75.7087745",225,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_35,auto_Ax_34QsxnRJedeN0ZU_DKQ_h270,"45.3646852,-75.7087745",270,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_36,auto_Ax_34QsxnRJedeN0ZU_DKQ_h315,"45.3646852,-75.7087745",315,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_37,auto_Ax_34QsxnRJedeN0ZU_DKQ_h0,"45.3646852,-75.7087745",0,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_38,auto_Ax_34QsxnRJedeN0ZU_DKQ_h45,"45.3646852,-75.7087745",45,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_39,auto_Ax_34QsxnRJedeN0ZU_DKQ_h90,"45.3646852,-75.7087745",90,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_40,auto_Ax_34QsxnRJedeN0ZU_DKQ_h135,"45.3646852,-75.7087745",135,0,90,50,30,auto_sampler,"45.3647928,-75.7084107",Ax_34QsxnRJedeN0ZU_DKQ,45.36468517404508,-75.70877446556906,2024-10,ok,Ax_34QsxnRJedeN0ZU_DKQ,2026-02-28T21:27:24.513Z
auto_41,auto_LE4bjiv2yLVLaIXrbly_0w_h180,"45.3676619,-75.6997831",180,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_42,auto_LE4bjiv2yLVLaIXrbly_0w_h225,"45.3676619,-75.6997831",225,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_43,auto_LE4bjiv2yLVLaIXrbly_0w_h270,"45.3676619,-75.6997831",270,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_44,auto_LE4bjiv2yLVLaIXrbly_0w_h315,"45.3676619,-75.6997831",315,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_45,auto_LE4bjiv2yLVLaIXrbly_0w_h0,"45.3676619,-75.6997831",0,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_46,auto_LE4bjiv2yLVLaIXrbly_0w_h45,"45.3676619,-75.6997831",45,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_47,auto_LE4bjiv2yLVLaIXrbly_0w_h90,"45.3676619,-75.6997831",90,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
auto_48,auto_LE4bjiv2yLVLaIXrbly_0w_h135,"45.3676619,-75.6997831",135,0,90,50,30,auto_sampler,"45.3673063,-75.6994210",LE4bjiv2yLVLaIXrbly_0w,45.36766189127896,-75.69978309053919,2020-10,ok,LE4bjiv2yLVLaIXrbly_0w,2026-02-28T21:27:24.809Z
